size,cond,mode,avg_ms,std_ms,median_ms,n
10k,C0,initial,11.3584,22.810421335206748,6.9544999999999995,30
10k,C0,repeat,6.886733333333334,0.7543410887396494,6.712,30
10k,C1,initial,7.7222,7.791652351870802,6.2385,30
10k,C1,repeat,6.207366666666667,0.6293222124845401,6.0375,30
10k,C2,initial,3.9926666666666666,3.7179930008033875,3.217,30
10k,C2,repeat,3.2127333333333334,0.28499739059099843,3.0970000000000004,30
10k,C3,initial,8.0537,21.801057162203282,4.025,30
10k,C3,repeat,3.3136333333333337,0.33502480436563176,3.2345,30
1k,C0,initial,7.740066666666666,3.57082125136437,7.036,30
1k,C0,repeat,6.822616666666666,0.8118761300623222,6.6165,60
1k,C1,initial,8.879366666666666,2.9984872793406705,8.397,30
1k,C1,repeat,6.931133333333333,0.7912947806507111,6.8825,30
1k,C2,initial,4.0042333333333335,3.717242365752753,3.193,30
1k,C2,repeat,3.332133333333333,0.42075152249060366,3.1845,30
1k,C3,initial,3.8575333333333335,3.4229698008412606,3.1485000000000003,30
1k,C3,repeat,3.2696666666666667,0.34065538591665173,3.175,30
5k,C0,initial,6.835999999999999,2.0938262122001796,6.318,30
5k,C0,repeat,8.7967,10.4777749913312,6.5755,30
5k,C1,initial,13.088799999999999,33.48114986119183,5.683,30
5k,C1,repeat,6.382933333333333,0.9487636576940113,6.2135,30
5k,C2,initial,3.878533333333333,3.4773552448449343,3.2474999999999996,30
5k,C2,repeat,3.2293000000000003,0.2665013618390513,3.1535,30
5k,C3,initial,5.587466666666667,12.066204010499264,3.3129999999999997,30
5k,C3,repeat,3.2049000000000003,0.25820018296422376,3.2315,30
